판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
94472,손해배상,79다1077,1979.8.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94472&type=HTML&mobileYn=
94395,손해배상,79다827,1979.7.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94395&type=HTML&mobileYn=
94423,손해배상,79다817,1979.7.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94423&type=HTML&mobileYn=
94318,건물철거,79다572,1979.6.5,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94318&type=HTML&mobileYn=
94227,원상회복·보증금반환등,78다2500,1979.3.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94227&type=HTML&mobileYn=
94157,전부금,78다2142,1979.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94157&type=HTML&mobileYn=
214123,해고처분무효확인등,78다304,1979.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=214123&type=HTML&mobileYn=
94164,손해배상등,78다2204,1979.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94164&type=HTML&mobileYn=
94052,손해배상,76다2732,1978.11.1,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=94052&type=HTML&mobileYn=
93632,소개료,77다1889,1977.11.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=93632&type=HTML&mobileYn=
93625,부당이득금반환,76다984,1977.11.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=93625&type=HTML&mobileYn=
207424,손해배상,76다992,1977.7.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=207424&type=HTML&mobileYn=
