판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
215733,제3자이의,2008다10884,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=215733&type=HTML&mobileYn=
143675,구상금,2009다53499,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=143675&type=HTML&mobileYn=
215747,보험금,2009다46811,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=215747&type=HTML&mobileYn=
215551,대여금,2009다85342,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=215551&type=HTML&mobileYn=
143668,구상금,2009다69432,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=143668&type=HTML&mobileYn=
143703,손해배상(기),2008다3619,2009.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=143703&type=HTML&mobileYn=
138124,청구이의,2006다73966,2009.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=138124&type=HTML&mobileYn=
141708,손해배상(기)등·손해배상(기),2006다67602,2009.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=141708&type=HTML&mobileYn=
138425,소유권보존등기등말소등기·소유권이전등기등,2008다56019,2009.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=138425&type=HTML&mobileYn=
138390,손해배상(자),2008다91180,2009.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=138390&type=HTML&mobileYn=
138145,보험금,2009다14340,2009.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=138145&type=HTML&mobileYn=
138670,소송비용담보제공,2008마1930,2009.6.25,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=138670&type=HTML&mobileYn=
125307,부동산소유권이전등기등,2006다77456,2009.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=125307&type=HTML&mobileYn=
125314,유류대금,2008다79340,2009.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=125314&type=HTML&mobileYn=
133441,위탁관리업체지위확인등,2007다9030,2009.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=133441&type=HTML&mobileYn=
133434,가처분이의,2006다60991,2009.1.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=133434&type=HTML&mobileYn=
136360,강제집행정지,2008그202,2009.1.15,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=136360&type=HTML&mobileYn=
124866,손해배상(기),2006다19832,2009.1.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=124866&type=HTML&mobileYn=
125300,강제집행정지,2008그193,2009.1.15,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=125300&type=HTML&mobileYn=
125839,가처분취소,2007마944,2008.10.27,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=125839&type=HTML&mobileYn=
64939,소유권보존등기말소등기등,2007다12364,2008.7.10,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=64939&type=HTML&mobileYn=
64904,소유권이전등기,2007다9719,2008.7.10,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=64904&type=HTML&mobileYn=
64911,지체상금,2008다15940,2008.7.10,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=64911&type=HTML&mobileYn=
