판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
175525,저작권침해금지및손해배상등,2012다55068,2014.5.16,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=175525&type=HTML&mobileYn=
192458,위자료등,2014마588,2014.5.16,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=192458&type=HTML&mobileYn=
187474,매매대금반환등,2012다72582,2014.5.16,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=187474&type=HTML&mobileYn=
172956,손해배상(기),2013다27220,2014.3.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=172956&type=HTML&mobileYn=
193179,손해배상,2013다45457,2013.9.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=193179&type=HTML&mobileYn=
171220,제권판결에 대한 불복,2012다36661,2013.9.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=171220&type=HTML&mobileYn=
172480,공탁사무관등의처분에대한이의,2013마949,2013.9.13,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=172480&type=HTML&mobileYn=
170898,소유권 이전등기등 ·청산금액 확인 청구,2011다19768,2013.7.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170898&type=HTML&mobileYn=
172004,근저당권설정등기말소,2012다18038,2013.7.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=172004&type=HTML&mobileYn=
170877,추심금,2012다204815,2013.7.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170877&type=HTML&mobileYn=
171941,손해배상(기),2012다203911,2013.7.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=171941&type=HTML&mobileYn=
170996,소유권 이전 등기등,2011다103472,2013.3.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170996&type=HTML&mobileYn=
170772,구상금,2012다102247,2013.2.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170772&type=HTML&mobileYn=
167832,추심금,2012다49292,2013.2.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=167832&type=HTML&mobileYn=
170807,구상금등,2012다34238,2013.2.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170807&type=HTML&mobileYn=
170702,투자금 반환,2011다102776,2013.1.16,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170702&type=HTML&mobileYn=
170366,투자금 반환,2010다86815,2012.12.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=170366&type=HTML&mobileYn=
166719,가처분이의,2012마858,2012.11.12,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=166719&type=HTML&mobileYn=
