판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
156149,공유물분할,68다2425,1969.12.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156149&type=HTML&mobileYn=
208306,어업권방해금지,69다1436,1969.12.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=208306&type=HTML&mobileYn=
157353,소유권 이전 등기 말소등,69다1440,1969.12.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=157353&type=HTML&mobileYn=
156184,소유권이전등기말소등,68다830,1969.12.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156184&type=HTML&mobileYn=
156170,소유권이전등기말소등,69다1665,1969.11.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156170&type=HTML&mobileYn=
156219,토지인도등,66다2584,1969.11.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156219&type=HTML&mobileYn=
156212,특별개간허가양도,69다1520,1969.11.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156212&type=HTML&mobileYn=
207767,광업권등록말소,64다1057,1969.11.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=207767&type=HTML&mobileYn=
208313,부동산소유권이전등기말소,65다2404,1969.11.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=208313&type=HTML&mobileYn=
207641,회사해산행위취소(본소)·임시주주총회부존재확인등(참가소),67다1705,1969.9.2,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=207641&type=HTML&mobileYn=
207655,반소장각하명령에대한재항고,69마375,1969.8.28,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=207655&type=HTML&mobileYn=
155967,소유권이전등기,69다868,1969.7.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=155967&type=HTML&mobileYn=
207683,손해배상,69다933,1969.7.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=207683&type=HTML&mobileYn=
156093,근저당권설정등기말소,69다402,1969.6.10,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=156093&type=HTML&mobileYn=
208362,약속어음금,69다144,1969.4.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=208362&type=HTML&mobileYn=
153797,부당이득금,68다1722,1969.4.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=153797&type=HTML&mobileYn=
153811,관리재산인도,69다232,1969.4.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=153811&type=HTML&mobileYn=
208376,부동산경매개시결정이의각하결정에대한재항고,69마88,1969.3.18,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=208376&type=HTML&mobileYn=
153972,소유권이전등기말소,67다2083,1969.2.4,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=153972&type=HTML&mobileYn=
153958,소유권이전등기말소,68다1587,1969.2.4,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=153958&type=HTML&mobileYn=
153713,근저당권설정등기말소(본소)·건물명도(반소),68다1727,1968.11.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=153713&type=HTML&mobileYn=
158851,손해배상,68다1442,1968.10.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=158851&type=HTML&mobileYn=
