판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
190379,손해배상(기),99다44588,1999.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=190379&type=HTML&mobileYn=
192283,동산인도등,99다41329,1999.10.26,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192283&type=HTML&mobileYn=
192297,채권압류및전부명령,99마4857,1999.10.6,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=192297&type=HTML&mobileYn=
192220,약정보상금,98다5548,1999.9.17,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192220&type=HTML&mobileYn=
192178,보증금,98다8028,1999.9.7,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192178&type=HTML&mobileYn=
194929,손해배상(기)·매매대금,98다13754,1999.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=194929&type=HTML&mobileYn=
117845,가처분말소등기등,98다6831,1999.7.9,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117845&type=HTML&mobileYn=
117817,손해배상(산),99다10714,1999.6.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117817&type=HTML&mobileYn=
117810,구상금,98다3139,1999.6.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117810&type=HTML&mobileYn=
195048,소유권이전등기,99다17760,1999.6.25,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195048&type=HTML&mobileYn=
117614,손해배상(기),98다36238,1999.4.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117614&type=HTML&mobileYn=
117509,약정수익금,99다4405,1999.3.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117509&type=HTML&mobileYn=
195020,보증채무금,97다54406,1999.3.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195020&type=HTML&mobileYn=
195216,대여금,98다46082,1999.1.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195216&type=HTML&mobileYn=
117138,지분금,98다15170,1998.10.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117138&type=HTML&mobileYn=
195321,등기공무원처분에대한이의,98마1333,1998.10.7,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=195321&type=HTML&mobileYn=
117061,근저당권말소등기의회복등기,98다27197,1998.10.2,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=117061&type=HTML&mobileYn=
194971,공사대금,98다33888,1998.10.2,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=194971&type=HTML&mobileYn=
195342,손해배상(산),98다25825,1998.9.18,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195342&type=HTML&mobileYn=
195013,소유권지분이전등기,97다32734,1998.9.18,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195013&type=HTML&mobileYn=
195349,손해배상(기),98다22048,1998.9.8,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195349&type=HTML&mobileYn=
195356,소유권이전등기등,98다13686,1998.9.8,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195356&type=HTML&mobileYn=
